timestamp,alert_type,source_ip,destination_host,user,failed_attempts,success_attempts,process_name,privilege_change,login_time,host_criticality,label,investigated,risk_score,risk_level
2024-01-30 18:59:00,PRIV_ESC,192.168.1.247,SERVER-3,bob,0,0,,1,day,high,1,False,0.7738976409818228,MEDIUM
2024-01-28 02:44:00,PRIV_ESC,192.168.1.247,SERVER-9,alice,0,0,,1,night,medium,1,True,0.7723338764776994,MEDIUM
2024-01-01 00:29:00,PRIV_ESC,192.168.1.44,SERVER-7,bob,0,0,,1,night,medium,1,False,0.7716796502863841,MEDIUM
2024-01-13 15:13:00,PRIV_ESC,192.168.1.23,SERVER-1,bob,0,0,,1,day,low,1,False,0.7694113021344147,MEDIUM
2024-01-31 20:48:00,PRIV_ESC,192.168.1.23,SERVER-5,alice,0,0,,1,day,low,1,False,0.7692641825645363,MEDIUM
2024-01-05 01:35:00,PRIV_ESC,192.168.1.247,SERVER-5,john,0,0,,1,night,low,1,False,0.7688536801224063,MEDIUM
2024-01-19 10:05:00,PRIV_ESC,192.168.1.13,SERVER-3,bob,0,0,,1,day,high,1,False,0.7682994204116345,MEDIUM
2024-01-15 16:28:00,PRIV_ESC,192.168.1.247,SERVER-8,root,0,0,,1,day,medium,1,False,0.7679536387025974,MEDIUM
2024-01-11 22:54:00,PRIV_ESC,192.168.1.60,SERVER-2,bob,0,0,,1,night,low,1,False,0.7674358217838534,MEDIUM
2024-01-21 20:06:00,PRIV_ESC,192.168.1.108,SERVER-7,bob,0,0,,1,day,high,1,False,0.7671710575322332,MEDIUM
2024-01-06 05:19:00,PRIV_ESC,192.168.1.67,SERVER-7,bob,0,0,,1,night,critical,1,False,0.7662834919427539,MEDIUM
2024-02-02 01:39:00,PRIV_ESC,192.168.1.60,SERVER-6,bob,0,0,,1,night,high,1,False,0.7658129149169056,MEDIUM
2024-02-04 17:11:00,PRIV_ESC,192.168.1.23,SERVER-3,root,0,0,,1,day,low,1,False,0.765241437320722,MEDIUM
2024-02-01 01:52:00,PRIV_ESC,192.168.1.44,SERVER-8,root,0,0,,1,night,medium,1,False,0.764351371934384,MEDIUM
2024-01-12 07:09:00,PRIV_ESC,192.168.1.60,SERVER-10,bob,0,0,,1,day,medium,1,False,0.7637186017978305,MEDIUM
2024-02-03 08:57:00,PRIV_ESC,192.168.1.85,SERVER-10,bob,0,0,,1,day,critical,1,False,0.7637064867587149,MEDIUM
2024-01-25 13:24:00,PRIV_ESC,192.168.1.232,SERVER-3,bob,0,0,,1,day,low,1,False,0.7634881230439144,MEDIUM
2024-01-11 00:42:00,PRIV_ESC,192.168.1.13,SERVER-5,john,0,0,,1,night,low,1,False,0.7631388835913099,MEDIUM
2024-01-01 14:02:00,PRIV_ESC,192.168.1.108,SERVER-2,root,0,0,,1,day,high,1,False,0.7613361895698066,MEDIUM
2024-01-24 13:51:00,PRIV_ESC,192.168.1.42,SERVER-4,bob,0,0,,1,day,low,1,False,0.7609223378299882,MEDIUM
2024-01-22 21:12:00,PRIV_ESC,192.168.1.67,SERVER-7,root,0,0,,1,night,low,1,False,0.7609149546883747,MEDIUM
2024-01-16 15:48:00,PRIV_ESC,192.168.1.67,SERVER-5,john,0,0,,1,day,medium,1,False,0.7605302587731902,MEDIUM
2024-01-23 08:10:00,PRIV_ESC,192.168.1.232,SERVER-8,bob,0,0,,1,day,low,1,False,0.7602598129865719,MEDIUM
2024-01-29 17:30:00,PRIV_ESC,192.168.1.60,SERVER-3,alice,0,0,,1,day,critical,1,False,0.7601310512037938,MEDIUM
2024-01-08 00:28:00,PRIV_ESC,192.168.1.120,SERVER-5,bob,0,0,,1,night,critical,1,False,0.7598872840135109,MEDIUM
2024-01-10 23:07:00,PRIV_ESC,192.168.1.63,SERVER-10,bob,0,0,,1,night,critical,1,False,0.7598349334110678,MEDIUM
2024-02-03 14:19:00,PRIV_ESC,192.168.1.249,SERVER-2,bob,0,0,,1,day,low,1,False,0.7597583319064034,MEDIUM
2024-01-03 08:02:00,PRIV_ESC,192.168.1.67,SERVER-5,root,0,0,,1,day,medium,1,False,0.7597033508542299,MEDIUM
2024-01-24 17:53:00,PRIV_ESC,192.168.1.27,SERVER-4,bob,0,0,,1,day,low,1,False,0.759697032687574,MEDIUM
2024-01-23 17:26:00,PRIV_ESC,192.168.1.184,SERVER-5,john,0,0,,1,day,high,1,False,0.7595092358372804,MEDIUM
2024-01-17 16:06:00,PRIV_ESC,192.168.1.63,SERVER-6,alice,0,0,,1,day,critical,1,False,0.7593847751777103,MEDIUM
2024-01-11 15:49:00,PRIV_ESC,192.168.1.137,SERVER-7,bob,0,0,,1,day,high,1,False,0.759172725954322,MEDIUM
2024-01-30 08:50:00,PRIV_ESC,192.168.1.70,SERVER-6,john,0,0,,1,day,medium,1,False,0.7589740846859253,MEDIUM
2024-01-11 05:39:00,PRIV_ESC,192.168.1.76,SERVER-5,bob,0,0,,1,night,critical,1,False,0.7589253032296243,MEDIUM
2024-01-24 18:02:00,PRIV_ESC,192.168.1.76,SERVER-1,alice,0,0,,1,day,low,1,False,0.7588104287951224,MEDIUM
2024-01-22 05:48:00,PRIV_ESC,192.168.1.216,SERVER-4,bob,0,0,,1,night,critical,1,False,0.7584884706028024,MEDIUM
2024-01-12 07:33:00,PRIV_ESC,192.168.1.195,SERVER-4,bob,0,0,,1,day,medium,1,False,0.7584480804227317,MEDIUM
2024-01-06 14:26:00,PRIV_ESC,192.168.1.115,SERVER-7,bob,0,0,,1,day,critical,1,False,0.7584328600299132,MEDIUM
2024-01-04 10:48:00,PRIV_ESC,192.168.1.203,SERVER-2,bob,0,0,,1,day,high,1,False,0.7584265732440175,MEDIUM
2024-02-02 06:06:00,PRIV_ESC,192.168.1.151,SERVER-1,bob,0,0,,1,day,medium,1,False,0.7583069780526316,MEDIUM
2024-01-24 06:32:00,PRIV_ESC,192.168.1.216,SERVER-6,alice,0,0,,1,day,medium,1,False,0.758250379281189,MEDIUM
2024-01-19 21:07:00,PRIV_ESC,192.168.1.80,SERVER-5,bob,0,0,,1,night,low,1,False,0.7581358721975343,MEDIUM
2024-01-14 07:34:00,PRIV_ESC,192.168.1.67,SERVER-4,root,0,0,,1,day,medium,1,False,0.7580772061443295,MEDIUM
2024-01-21 07:55:00,PRIV_ESC,192.168.1.88,SERVER-6,bob,0,0,,1,day,critical,1,False,0.7580330782368505,MEDIUM
2024-01-20 01:48:00,PRIV_ESC,192.168.1.221,SERVER-6,root,0,0,,1,night,medium,1,False,0.7579708048285068,MEDIUM
2024-01-14 05:35:00,PRIV_ESC,192.168.1.218,SERVER-2,bob,0,0,,1,night,medium,1,False,0.7578601789652175,MEDIUM
2024-02-02 07:34:00,PRIV_ESC,192.168.1.247,SERVER-7,john,0,0,,1,day,high,1,False,0.7574561523531842,MEDIUM
2024-02-01 19:02:00,PRIV_ESC,192.168.1.195,SERVER-3,bob,0,0,,1,day,critical,1,False,0.7574405655359387,MEDIUM
2024-01-10 08:47:00,PRIV_ESC,192.168.1.218,SERVER-4,bob,0,0,,1,day,high,1,False,0.7573103189428555,MEDIUM
2024-01-25 06:46:00,PRIV_ESC,192.168.1.183,SERVER-6,bob,0,0,,1,day,high,1,False,0.7572809081988053,MEDIUM
2024-01-12 18:07:00,PRIV_ESC,192.168.1.231,SERVER-2,alice,0,0,,1,day,medium,1,False,0.7572642324246027,MEDIUM
2024-02-03 18:44:00,PRIV_ESC,192.168.1.99,SERVER-6,alice,0,0,,1,day,critical,1,False,0.7572160477037586,MEDIUM
2024-01-26 19:53:00,PRIV_ESC,192.168.1.29,SERVER-5,bob,0,0,,1,day,low,1,False,0.7571831607509998,MEDIUM
2024-01-10 03:37:00,PRIV_ESC,192.168.1.236,SERVER-1,alice,0,0,,1,night,low,1,False,0.7570124654224334,MEDIUM
2024-01-29 22:00:00,PRIV_ESC,192.168.1.236,SERVER-1,alice,0,0,,1,night,low,1,False,0.7570124654224334,MEDIUM
2024-02-03 16:07:00,PRIV_ESC,192.168.1.179,SERVER-6,bob,0,0,,1,day,high,1,False,0.7569696931333114,MEDIUM
2024-01-27 20:41:00,PRIV_ESC,192.168.1.177,SERVER-7,bob,0,0,,1,day,low,1,False,0.756916228320502,MEDIUM
2024-01-17 08:35:00,PRIV_ESC,192.168.1.231,SERVER-10,alice,0,0,,1,day,critical,1,False,0.7568630628692122,MEDIUM
2024-01-26 17:50:00,PRIV_ESC,192.168.1.43,SERVER-4,bob,0,0,,1,day,high,1,False,0.7567913403634481,MEDIUM
2024-01-24 23:25:00,PRIV_ESC,192.168.1.184,SERVER-7,root,0,0,,1,night,low,1,False,0.7567353463261374,MEDIUM
2024-01-02 10:07:00,PRIV_ESC,192.168.1.70,SERVER-8,root,0,0,,1,day,medium,1,False,0.7566878562187566,MEDIUM
2024-01-08 21:20:00,PRIV_ESC,192.168.1.51,SERVER-6,root,0,0,,1,night,low,1,False,0.7565799209619822,MEDIUM
2024-01-30 20:03:00,PRIV_ESC,192.168.1.26,SERVER-1,alice,0,0,,1,day,low,1,False,0.7565652057248253,MEDIUM
2024-01-04 11:35:00,PRIV_ESC,192.168.1.89,SERVER-8,bob,0,0,,1,day,high,1,False,0.756561967231971,MEDIUM
2024-01-10 05:12:00,PRIV_ESC,192.168.1.158,SERVER-6,alice,0,0,,1,night,medium,1,False,0.7564810669305763,MEDIUM
