timestamp,alert_type,source_ip,destination_host,user,failed_attempts,success_attempts,process_name,privilege_change,login_time,host_criticality,label
2024-02-02 12:00:00,MALWARE_EXEC,192.168.1.150,SERVER-8,alice,0,0,unknown.exe,0,day,medium,1
2024-01-16 11:10:00,MALWARE_EXEC,192.168.1.205,SERVER-8,bob,0,0,unknown.exe,0,day,medium,1
2024-02-02 10:36:00,PRIV_ESC,192.168.1.241,SERVER-5,alice,0,0,,1,day,critical,1
2024-01-26 07:10:00,AUTH_FAILURE,192.168.1.139,SERVER-2,john,1,0,,0,day,medium,1
2024-02-02 10:24:00,MALWARE_EXEC,192.168.1.57,SERVER-2,john,0,0,unknown.exe,0,day,critical,1
2024-01-04 17:43:00,AUTH_FAILURE,192.168.1.4,SERVER-7,root,8,0,,0,day,medium,1
2024-01-20 01:48:00,PRIV_ESC,192.168.1.221,SERVER-6,root,0,0,,1,night,medium,1
2024-01-21 09:47:00,AUTH_SUCCESS,192.168.1.25,SERVER-1,alice,0,1,,0,day,high,0
2024-01-26 02:42:00,AUTH_FAILURE,192.168.1.247,SERVER-3,john,8,0,,0,night,medium,1
2024-01-25 07:36:00,AUTH_FAILURE,192.168.1.15,SERVER-9,alice,5,0,,0,day,critical,1
2024-01-05 03:10:00,PORT_SCAN,192.168.1.243,SERVER-10,root,0,0,,0,night,low,0
2024-01-09 06:05:00,PORT_SCAN,192.168.1.154,SERVER-7,root,0,0,,0,day,low,0
2024-02-02 18:38:00,AUTH_SUCCESS,192.168.1.9,SERVER-3,john,0,1,,0,day,low,0
2024-02-02 12:10:00,MALWARE_EXEC,192.168.1.32,SERVER-8,john,0,0,unknown.exe,0,day,high,1
2024-01-04 11:34:00,AUTH_FAILURE,192.168.1.68,SERVER-5,john,2,0,,0,day,critical,0
2024-01-15 11:18:00,AUTH_FAILURE,192.168.1.15,SERVER-3,john,8,0,,0,day,medium,1
2024-01-31 16:47:00,MALWARE_EXEC,192.168.1.217,SERVER-8,alice,0,0,unknown.exe,0,day,medium,1
2024-01-12 05:05:00,AUTH_SUCCESS,192.168.1.93,SERVER-2,alice,0,1,,0,night,critical,0
2024-02-01 23:02:00,PORT_SCAN,192.168.1.126,SERVER-5,root,0,0,,0,night,critical,0
2024-01-01 09:13:00,PRIV_ESC,192.168.1.8,SERVER-6,john,0,0,,1,day,medium,1
2024-01-04 14:56:00,MALWARE_EXEC,192.168.1.224,SERVER-5,root,0,0,unknown.exe,0,day,low,1
2024-01-03 08:44:00,AUTH_SUCCESS,192.168.1.88,SERVER-10,root,0,1,,0,day,low,0
2024-01-10 04:31:00,PORT_SCAN,192.168.1.38,SERVER-3,john,0,0,,0,night,low,0
2024-01-28 21:33:00,AUTH_SUCCESS,192.168.1.33,SERVER-2,john,0,1,,0,night,high,0
2024-01-21 21:38:00,PRIV_ESC,192.168.1.20,SERVER-9,bob,0,0,,1,night,high,1
2024-01-14 19:05:00,AUTH_SUCCESS,192.168.1.45,SERVER-3,bob,0,1,,0,day,low,0
2024-01-25 14:58:00,AUTH_SUCCESS,192.168.1.65,SERVER-6,bob,0,1,,0,day,critical,0
2024-01-31 06:47:00,AUTH_SUCCESS,192.168.1.62,SERVER-1,john,0,1,,0,day,high,0
2024-01-22 00:16:00,AUTH_SUCCESS,192.168.1.114,SERVER-1,alice,0,1,,0,night,medium,0
2024-01-21 11:02:00,PORT_SCAN,192.168.1.123,SERVER-5,john,0,0,,0,day,high,1
2024-01-19 18:04:00,PRIV_ESC,192.168.1.250,SERVER-3,john,0,0,,1,day,critical,1
2024-01-31 20:40:00,PORT_SCAN,192.168.1.20,SERVER-1,bob,0,0,,0,day,high,0
2024-01-16 17:40:00,AUTH_FAILURE,192.168.1.52,SERVER-8,root,4,0,,0,day,critical,0
2024-01-24 05:58:00,PRIV_ESC,192.168.1.224,SERVER-9,john,0,0,,1,night,medium,1
2024-01-23 03:14:00,MALWARE_EXEC,192.168.1.167,SERVER-9,root,0,0,unknown.exe,0,night,critical,1
2024-01-05 06:11:00,PORT_SCAN,192.168.1.139,SERVER-8,bob,0,0,,0,day,low,0
2024-01-11 21:28:00,AUTH_SUCCESS,192.168.1.47,SERVER-2,john,0,1,,0,night,low,0
2024-01-16 18:10:00,PORT_SCAN,192.168.1.144,SERVER-6,alice,0,0,,0,day,low,0
2024-01-04 22:44:00,AUTH_SUCCESS,192.168.1.29,SERVER-8,john,0,1,,0,night,high,0
